,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,MaliniChatter11,,,66,24,6393,0,"@AUThackeray Maha Govt was involved in SSR murder case..
Maha Govt save the murderers because minister son was involved in the murder case.. 
#ShameOnMahaGovt",['ShameOnMahaGovt']
1,MaliniChatter11,,,66,24,6393,0,"SSR was murdered by Bollywood mafia. Aaditya Thackeray was involved in Disha and SSR murder case.This is the only reason for the silence of CBI.Anil Deshmukh convert the murder case into suicide case.
#ShameOnMahaGovt
CBI END SILENCE IN SSR CASE
@MeenaDasNarayan @ips_nupurprasad",['ShameOnMahaGovt']
2,MaliniChatter11,,,66,24,6393,0,"@AmitShah @BJPVinodSonkar Provide Z+security to #SameerWakhende. Bollywood is a mafia place. SSR was murdered by Bollywood mafia. But they are not arrested by CBI because they have lots of power and money and also Maha Govt was  involved in this murder case. Just shame.
#ShameOnMahaGovt
@AnilDeshmukhNCP","['SameerWakhende', 'ShameOnMahaGovt']"
3,TengaLaura,politiciano ki maa ki chut,,116,10,2327,6,"#FreePradeepBhandari | मैंने पुलिस वालों से कहा मेरे पास तो बेल एप्लिकेशन है तो उन्होंने कहा- हमें उससे कोई मतलब नहीं है। मेरे फोन को IT एक्सपर्ट बुलाकर खोलने की कोशिश की गई: प्रदीप भंडारी, @pradip103

#IStandWithPradeepBhandari
#ShameOnMahaGovt
#PradeepBhandari
#RepublicBharat https://t.co/QGTFm1QEHo",['FreePradeepBhandari']
4,vs_j8_,"#rss

🙏 राष्ट्रहित सर्वोपरि!!","Jaipur, India",27,182,2058,6,"#FreePradeepBhandari | मैंने पुलिस वालों से कहा मेरे पास तो बेल एप्लिकेशन है तो उन्होंने कहा- हमें उससे कोई मतलब नहीं है। मेरे फोन को IT एक्सपर्ट बुलाकर खोलने की कोशिश की गई: प्रदीप भंडारी, @pradip103

#IStandWithPradeepBhandari
#ShameOnMahaGovt
#PradeepBhandari
#RepublicBharat https://t.co/QGTFm1QEHo",['FreePradeepBhandari']
5,DilipBhandariIN,30 August 1951,"इंदौर, भारत",18,254,9007,6,"#FreePradeepBhandari | मैंने पुलिस वालों से कहा मेरे पास तो बेल एप्लिकेशन है तो उन्होंने कहा- हमें उससे कोई मतलब नहीं है। मेरे फोन को IT एक्सपर्ट बुलाकर खोलने की कोशिश की गई: प्रदीप भंडारी, @pradip103

#IStandWithPradeepBhandari
#ShameOnMahaGovt
#PradeepBhandari
#RepublicBharat https://t.co/QGTFm1QEHo",['FreePradeepBhandari']
